,trackName,artistName,count,total_ms_played
6875,Sup Mate (feat. Future),Young Thug,83,3 hours 30 mins
6647,Space Cadet (feat. Gunna),Metro Boomin,75,2 hours 33 mins
5855,ROXANNE,Arizona Zervas,73,2 hours 27 mins
2697,Fury's Laughter - Extended Mix,S.A.M.,41,2 hours 22 mins
2191,Ecstasy (feat. Machine Gun Kelly),Young Thug,71,2 hours 09 mins
3857,Jumpman,Drake,53,2 hours 08 mins
1634,Crew Love,Drake,51,2 hours 06 mins
8241,ZEZE (feat. Travis Scott & Offset),Kodak Black,68,2 hours 04 mins
8047,With That (feat. Duke),Young Thug,58,2 hours 03 mins
6217,Saint-Tropez,Post Malone,65,1 hours 59 mins
